Date,Open,High,Low,Close,Adj Close,Volume
5/8/2022,0.127527,0.128017,0.123974,0.124207,0.124207,728953161
5/9/2022,0.1242,0.125136,0.104824,0.104824,0.104824,1353326367
5/10/2022,0.104708,0.117775,0.100881,0.108477,0.108477,1723066438
5/11/2022,0.108449,0.110565,0.080036,0.084581,0.084581,2556008051
5/12/2022,0.084636,0.089028,0.070037,0.082671,0.082671,2631064083
5/13/2022,0.082639,0.094254,0.082371,0.088331,0.088331,1444350618
5/14/2022,0.088341,0.091598,0.084483,0.089796,0.089796,902479951
5/15/2022,0.089785,0.092843,0.086876,0.092843,0.092843,651900826
5/16/2022,0.092867,0.093061,0.086428,0.087841,0.087841,606521740
5/17/2022,0.087836,0.091112,0.087484,0.090213,0.090213,560800173
5/18/2022,0.090221,0.090797,0.083649,0.083649,0.083649,558257804
5/19/2022,0.083635,0.087124,0.082087,0.086723,0.086723,613801947
5/20/2022,0.086719,0.08775,0.082859,0.083977,0.083977,518556378
5/21/2022,0.083972,0.08511,0.082932,0.084463,0.084463,335246011
5/22/2022,0.084448,0.08648,0.084058,0.086105,0.086105,375026021
5/23/2022,0.086084,0.08811,0.082858,0.083253,0.083253,507385171
5/24/2022,0.083267,0.084317,0.080811,0.083637,0.083637,462415724
5/25/2022,0.083628,0.084338,0.082319,0.082985,0.082985,419834752
5/26/2022,0.082994,0.0836,0.076065,0.078252,0.078252,711890873
5/27/2022,0.078211,0.085384,0.076582,0.081335,0.081335,1310057650
5/28/2022,0.082248,0.083048,0.081151,0.081839,0.081839,535539620
5/29/2022,0.081838,0.083034,0.080299,0.082686,0.082686,394962471
5/30/2022,0.082684,0.088275,0.082269,0.087871,0.087871,690696756
5/31/2022,0.087865,0.08823,0.083612,0.085865,0.085865,672444588
6/1/2022,0.085855,0.088647,0.079807,0.081056,0.081056,830748610
6/2/2022,0.081052,0.083007,0.080417,0.082772,0.082772,434510607
6/3/2022,0.082777,0.082857,0.079756,0.080442,0.080442,403339248
6/4/2022,0.080454,0.082337,0.079727,0.081777,0.081777,350329772
6/5/2022,0.081776,0.082138,0.080836,0.081229,0.081229,282624184
6/6/2022,0.081225,0.084559,0.081126,0.08253,0.08253,503707292
6/7/2022,0.08253,0.08253,0.078332,0.080513,0.080513,509642725
6/8/2022,0.080492,0.08142,0.079156,0.079439,0.079439,328046389
6/9/2022,0.079436,0.080898,0.079082,0.079336,0.079336,274673852
6/10/2022,0.079335,0.079521,0.074804,0.075454,0.075454,431520761
6/11/2022,0.075472,0.076399,0.068596,0.069895,0.069895,497184012
6/12/2022,0.069919,0.070345,0.063861,0.064336,0.064336,708156957
6/13/2022,0.064275,0.065702,0.053002,0.053921,0.053921,1465281537
6/14/2022,0.053941,0.058154,0.050267,0.055592,0.055592,908921329
6/15/2022,0.055577,0.063472,0.05067,0.063,0.063,1122284662
6/16/2022,0.062977,0.062977,0.054508,0.055029,0.055029,724479688
6/17/2022,0.055047,0.057911,0.054898,0.056995,0.056995,383830484
6/18/2022,0.056979,0.057755,0.04972,0.053012,0.053012,652345943
6/19/2022,0.053007,0.062472,0.051308,0.060396,0.060396,1166163984
6/20/2022,0.060399,0.061157,0.057707,0.060177,0.060177,499018791
6/21/2022,0.060175,0.069324,0.059315,0.065571,0.065571,1051899538
6/22/2022,0.065606,0.065751,0.061389,0.061711,0.061711,633619298
6/23/2022,0.061703,0.064615,0.061703,0.064032,0.064032,434169751
6/24/2022,0.064019,0.068162,0.064004,0.067124,0.067124,514729444
6/25/2022,0.06711,0.069112,0.065384,0.068503,0.068503,432671864
6/26/2022,0.068488,0.076966,0.067504,0.073177,0.073177,883689355
6/27/2022,0.073154,0.078389,0.071018,0.072239,0.072239,962250061
6/28/2022,0.072221,0.072951,0.065723,0.065957,0.065957,534793983
6/29/2022,0.065996,0.071335,0.064635,0.069468,0.069468,592828738
6/30/2022,0.069481,0.069513,0.062746,0.066086,0.066086,566648029
7/1/2022,0.066208,0.067862,0.064224,0.066175,0.066175,472441458
7/2/2022,0.066205,0.067692,0.065933,0.066698,0.066698,352589827
7/3/2022,0.066698,0.067356,0.065111,0.067179,0.067179,280878240
7/4/2022,0.067174,0.069605,0.065927,0.069472,0.069472,379581122
7/5/2022,0.069431,0.069841,0.065697,0.067155,0.067155,403220687
7/6/2022,0.067172,0.069058,0.066448,0.068583,0.068583,398926503
7/7/2022,0.068579,0.071124,0.068053,0.070621,0.070621,402591742
7/8/2022,0.070618,0.073009,0.068541,0.069257,0.069257,444369733
7/9/2022,0.069224,0.070009,0.068995,0.069512,0.069512,254272147
7/10/2022,0.069509,0.069509,0.066533,0.067263,0.067263,299810124
7/11/2022,0.067268,0.067268,0.061535,0.061847,0.061847,326125900
7/12/2022,0.061851,0.062861,0.060087,0.060087,0.060087,298462083
7/13/2022,0.060085,0.062011,0.058398,0.061953,0.061953,446505400
7/14/2022,0.061933,0.062632,0.059741,0.062394,0.062394,348090510
7/15/2022,0.0624,0.064259,0.061747,0.063042,0.063042,374357844
7/16/2022,0.063037,0.064725,0.06187,0.06428,0.06428,279644299
7/17/2022,0.064288,0.065394,0.063101,0.063107,0.063107,249697026
7/18/2022,0.063114,0.068674,0.063114,0.067715,0.067715,564795959
7/19/2022,0.06769,0.0699,0.065752,0.069013,0.069013,552211168
7/20/2022,0.069015,0.076574,0.067928,0.07012,0.07012,1019375521
